id,nameeng,nameamh,position,placeofassignment,detail,,
1181,Ato Kahse G/Medhin,አቶ ካህሳ ገ/መዲን ,ምክትል ዋና ዳይሬክተር ,የብረታብረት ኢንዱስትሪ ልማት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1182,Endalew Mekonnen,አቶ እንዳለው መኮንን,ዋና ዳይሬክተር ,የኢትዮጵያ የደረጃዎች ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1183,Bonsa Bayisa,አቶ ቦንሳ ባይሳ ,ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ የደረጃዎች ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1184,Araya Fisha Gezahigne,አቶ አርአያ ፍስሃ ገዛኸኝ,ዋና ዳይሬክተር ,የኢትዮጵያ ብሄራዊ አክሬዲቴሽን ጽ/ቤት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1185,Getinet Tsigemeleak G/Yohannes,አቶ ጌትነት ፀገመልአክ ገ/ዮንስ,ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ ብሄራዊ አክሬዲቴሽን ጽ/ቤት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1186,Samuel Halala Kejela,አቶ ሳሙኤል ሀላላ,ዋና ዳይሬክተር ,የኬሚካል ኮንስትራክሽን ግብአቶች ኢንዱስትሪ ልማት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1187,Deyesa Leta Merga,አቶ ደየሳ ለታ መርጋ,ምክትል ዋና ዳይሬክተር ,የኬሚካል ኮንስትራክሽን ግብአቶች ኢንዱስትሪ ልማት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1188,Simret Girma,ወ/ሮ ስምረት ግርማ ,ምክትል ዋና ዳይሬክተር ,የኬሚካል ኮንስትራክሽን ግብአቶች ኢንዱስትሪ ልማት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1189,Hadushom Teoum Araya,አቶ ሀዱሾም ጥዑም ,የሲሚንቶ እና የኮንስትራክሽንና ውጤቶች ዘርፍ ምክትል ዋና ዳይሬክተር ,የኬሚካል ኮንስትራክሽን ግብአቶች ኢንዱስትሪ ልማት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1190,Hailesilassie Wores,አቶ ኃይለስላሴ ወረሰ,ዋና ዳይሬክተር ,የኢትዮጵያ ስጋና ወተት ኢንዱስትሪ ልማት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1191,Dr. Tekeba Eshetu,ዶ/ር ተቀባ እሸቱ,ዋና ዳይሬክተር ,የኢትዮጵያ ስጋና ወተት ኢንዱስትሪ ልማት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1192,Tadesse Gouta,አቶ ታደሰ ጉታ,ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ ስጋና ወተት ኢንዱስትሪ ልማት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1193,Solomon Tadesse,አቶ ሰለሞን ታደሰ ,ዋና ዳይሬክተር ,የምግብና መጠጥ ፋርማሲዩቲካል ኢንዱስትሪ ልማት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1194,Mesay W/Mariyam,አቶ መሳይ ወ/ማርያም,ም/ዋና ዳይሬክተር ,የምግብና መጠጥ ፋርማሲዩቲካል ኢንዱስትሪ ልማት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1195,Belaynesh Kumsa,ወ/ሮ በላይነሽ ኩምሳ,የኢንቨስትመንትና ቴክኖሎጂ ዘርፍ ም/ ዋና ዳይሬክተር  ,የምግብና መጠጥ ፋርማሲዩቲካል ኢንዱስትሪ ልማት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1196,Bekele Mekuriya,አቶ በቀለ መኩሪያ,የምግብና መጠጥ ዘርፍ ም/ዋና ዳይሬክተር ,የምግብና መጠጥ ፋርማሲዩቲካል ኢንዱስትሪ ልማት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1197,Enginner Olero Opiyo Oujillu,ኢንጂነር ኦሌሮ ኦፒዩው ኡጁሉ ,ዋና ዳይሬክተር ,የምርት ገበያ ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1198,Wondimagene Negera,አቶ ወንድማገኝ ነገራ ,ዋና ዳይሬክተር ,ምርት ገበያ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1199,Asfaw Abebe Ershaw,አቶ አስፋው አበበ እርሻው,ዋና ዳይሬክተር ,የፌደራል አነስተኛና መካከለኛ ማኑፋክቸሪንግ ኢንዱስትሪዎች ማስፋፊያ ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1200,Kelifah Hussien Nesro,አቶ ከሊፋ ሁሴን ነስሮ,ምክትል ዋና ዳይሬክተር ,የፌደራል አነስተኛና መካከለኛ ማኑፋክቸሪንግ ኢንዱስትሪዎች ማስፋፊያ ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1201,Hadush Halefom,አቶ ሀዱሽ ሃለፎም ,ምክትል ዋና ዳይሬክተር ,የፌደራል አነስተኛና መካከለኛ ማኑፋክቸሪንግ ኢንዱስትሪዎች ማስፋፊያ ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1202,Daniel Olani Mekonnen,አቶ ዳንኤል ኦላኒ መኮንን,ምክትል ዋና ዳይሬክተር ,የፌደራል አነስተኛና መካከለኛ ማኑፋክቸሪንግ ኢንዱስትሪዎች ማስፋፊያ ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1203,Dr. Abdu Abagibe,ዶ/ር አብዱ አባጊቤ,ዋና ዳይሬክተር ,የብሄራዊ ስነ-ልክ ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1204,Mulugeta Deribew,አቶ ሙሉጌታ ደርበው,ምክትል ዋና ዳይሬክተር ,የብሄራዊ ስነ-ልክ ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1205,Michael Teklu,አቶ ሚካኤል ተክሉ,ዋና ዳይሬክተር ,የንግድ ውድድርና ሸማቾች ጥበቃ ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1206,Girma Alemar,አቶ ግርማ አለማር ,የኮፖሬት ዘርፍ ምክትል ዋና ዳይሬክተር ,የንግድ ውድድርና ሸማቾች ጥበቃ ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1207,Meselech Wodajo,ወ/ሮ መሰለች ወዳጆ ,ምክትል ዋና ዳይሬክተር ,የንግድ ውድድርና ሸማቾች ጥበቃ ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1208,Teshale Belihu,አቶ ተሻለ በልሁ ,ዋና ዳይሬክተር ,የኢትዮጵያ ተስማሚነት ምዘና ኢጄንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1209,Gashaw Tesfaye,አቶ ጋሻው ተስፋዬ ,ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ ተስማሚነት ምዘና ኢጄንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1210,Dr. Hulu Basha,ዶ/ር ሁሉ በሻ,ዋና ዳይሬክተር ,የጆኦስፓሻል ኢንፎርሜሽን ኢንስቲትዩት,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1211,Solomon Getachew,አቶ ሰለሞን ጌታቸው,ዋና ዳይሬክተር ,የኢትዮጵያ ጨረራ መከላከያ ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1212,Dr. Kassahun Tesfaye Geletu,ዶ/ር ካሳሁን ተስፋዬ ገለቱ,ዋና ዳይሬክተር ,የባዮቴክኖሎጂ ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1213,Dr. Hailu Dadi Melka,ዶ/ር ሀይሉ ዳዲ መልካ,ምክትል ዋና ዳይሬክተር ,የባዮቴክኖሎጂ ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1214,Tewodros Bekele Gerbi,አቶ ቴዎድሮስ በቀለ ገርቢ,ምክትል ዋና ዳይሬክተር ,የባዮቴክኖሎጂ ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1215,Dr. Solomon Belay,ዶ/ር ሰለሞን በላይ ,ዋና ዳይሬክተር ,የኢትዮጵያ ስፔስ ሳይንስና ቴክኖሎጂ ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1216,Atakilti Gidey Abrha,አቶ አታክልቲ ግደይ አብርሃ,የፌደራል የስነምግባርና የጸረሙስና ኮሚሽን,ም/ኮሚሽነር,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1217,Yohannes Bekele Gezahigne,አቶ ዮሀንስ በቀለ ገዛኸኝ,ፌደራል ትራንስፖርት ባለስልጣን,ም/ዋና ዳይረሬክተር,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1218,Abdisa Yilma,አቶ አብዲሳ ይልማ ,ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ ስፔስ ሳይንስና ቴክኖሎጂ ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1219,Sandokan Debebe,አቶ ሳንዶካን ደበበ ,ዋና ዳይሬክተር ,የቴክኖሎጂና የኖቬሽን ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1220,Teshome Sehalemariyam,አቶ ተሾመ ሳህለማርያም ,ምክትል ዋና ዳይሬክተር ,የቴክኖሎጂና የኖቬሽን ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1221,Muluken Kere,አቶ ሙሉቀን ቀረ,ምክትል ዋና ዳይሬክተር ,የቴክኖሎጂና የኖቬሽን ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1222,Abdisa Yadeta,አቶ አብዲሳ ያደታ,ዋና ዳይሬክተር ,የትራንስፖርት ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1223,Dereje W/Yohannes Abdi,አቶ ደረጀ ወ/ዮሀንስ አብዲ,የመንገድ ትራፊክ ደህንነት ዘርፍ ምክትል ዋና ዳይሬክተር ,የትራንስፖርት ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1224,Almaz Beyero Hirbaye,ወ/ሮ አልማዝ በየሮ ህርባዬ,የትራንስፖርት ዘርፍ ምክትል ዋና ዳይሬክተር ,የትራንስፖርት ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1225,Yohannes Bekele,አቶ ዩሀንስ በቀለ ,የኮርፕሬት ስራዎች ዘርፍ ምክትል ዋና ዳይሬክተር ,የትራንስፖርት ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1226,Reshid Mehamed,አቶ ረሺድ መሀመድ ,ዋና ዳይሬክተር ,የመንገድ ፈንድ ጽ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1227,Yishak Abera Reda,አቶ ይስሀቅ አበራ ረዳ,ዋና ዳይሬክተር ,የመድን ፈንድ አስተዳደር ኢጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1228,Shimelis Tamirat Debebe,አቶ ሽመልስ ታምራት  ደበበ,ምክትል ዋና ዳይሬክተር,የመድን ፈንድ አስተዳደር ኢጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1229,Cononel Wosenyeleh Hunegnaw Tadeg,ኮኖኔል ወሰንየለህ ሁነኛ ውታደግ,ዋና ዳይሬክተር ,ሲቪል አቪየሽን ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1230,Zewudu Tekalay Aregawi,አቶ ዘውዱ ተክላይ አረጋዊ,ምክትል ዋና ዳይሬክተር,ሲቪል አቪየሽን ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1231,Shimelis K/Ab Zerufael,አቶ ሽመልስ ክ/አብ ዘሩፋኤል,ምክትል ዋና ዳይሬክተር,ሲቪል አቪየሽን ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1232,Mekonnen Abera Tadesse,አቶ መኮንን አበራ ታደሰ ,ዋና ዳይሬክተር ,የማሪታይም ጉዳይ ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1233,Dr. Sintayehu W/Michael,ዶ/ር ስንታየሁ ወ/ሚካኤል ,ዋና ስራ አስፈፃሚ ,የኢትዮጵያ ምድር ባቡር ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1234,Henok Bogale,አቶ ሄኖክ ቦጋለ,ተጠባባቂ የባቡር ትራንስፖርት ዘርፍ ም/ዋና ስራ አስፈፃሚ ,የኢትዮጵያ ምድር ባቡር ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1235,Abiy Getachew,አቶ አብይ ጌታቸው ,የባቡር አካዳሚ ም/ዋና ስራ አስፈፃሚ ,የኢትዮጵያ ምድር ባቡር ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1236,Yehuwalashet Jemere,አቶ የኋላሸት ጀመረ ,የባቡር ኔትወርክ ዘርፍ ም/ዋና ስራ አስፈፃሚ ,የኢትዮጵያ ምድር ባቡር ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1237,Dr. Belete Kebede,ዶ/ር በለጠ ከበደ ,የቢዝነስ እስትራቴጂ ዘርፍ ም/ዋና ስራ አስፈፃሚ ,የኢትዮጵያ ምድር ባቡር ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1238,Fedil Abrham,አቶ ፈድል አብርሃም ,የሰው ኃብት ልማት ዘርፍ ም/ዋና ስራ አስፈፃሚ ,የኢትዮጵያ ምድር ባቡር ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1239,Habtamu Tegegne,አቶ ሀብታሙ ተገኝ ,ዋና ዳይሬክተር ,የኢትዮጵያ መንገዶች ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1240,Mehammed Abdurahman,አቶ መሀመድ አብዱረህማን ,ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ መንገዶች ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1241,Sissay Bekele,አቶ ሲሳይ በቀለ ,ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ መንገዶች ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1242,Alemayehu Ayele,አቶ አለማየሁ አየሌ,ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ መንገዶች ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1243,Daniel Mengiste,አቶ ዳንኤል መንግስቴ,ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ መንገዶች ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1244,Enginner Tilahun Bireka,ኢንጂነር ጥላሁን ቢረካ ,ዋና ዳይሬክተር ,የኢትዮ ጂቡቲ ስታንዳርድ ጌጂ ባቡር ትራንስፖርት አ.ማ.,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1245,Firehiwot Tiliku,ወ/ሮ ፍሬህይወት ትልቁ ,ዋና ዳይሬክተር ,የፐብሊክ ሰርቪስ ትራንስፖርት አገልግሎት ድርጅት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1246,Ambachew Abate,አቶ አምባቸው አባተ ,ምክትል ዋና ዳይሬክተር ,የፐብሊክ ሰርቪስ ትራንስፖርት አገልግሎት ድርጅት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1247,Mustofa Kedir,አቶ ሙስጠፋ ከዲር ,ዋና ዳይሬክተር ,የኢትዮጵያ ክፍያ መንገዶች ኢንተርፕራይዝ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1248,Abiy Woretaw,አቶ አብይ ወረታው ,ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ ክፍያ መንገዶች ኢንተርፕራይዝ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1249,Abdul Ber Shemsu,አቶ አብዱል በር ሸምሱ ,ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ ክፍያ መንገዶች ኢንተርፕራይዝ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1250,Reshid Kemal,አቶ ረሻድ ከማል,ዋና ስራ አስፈፃሚ ,የፌደራል ቤቶች ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1251,Yirgalem Kumelt,አቶ ይርጋለም ኩመልት,ምክትል ስራ አስፈፃሚ ,የፌደራል ቤቶች ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1252,Hailebirhan Zena,አቶ ሀይለብርሃን ዜና ,ምክትል ስራ አስፈፃሚ,የፌደራል ቤቶች ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1253,Fantahun Hagos,አቶ ፋንታሁን ሀጎስ ,ምክትል ስራ አስፈፃሚ,የፌደራል ቤቶች ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1254,Dr. Argaw Asha,ዶ/ር አርጋው አሻ,ምክትል ዋና ዳይሬክተር,የኢትዮጵያ ኮንስትራክሽን ፕሮጀክት ማኔጅመንት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1255,Asmerom Tadesse,አቶ አስመሮም ታደሰ,ምክትል ዋና ዳይሬክተር ,የኢትዮጵያ ኮንስትራክሽን ፕሮጀክት ማኔጅመንት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1256,Zenebe Kumo Geda,አቶ ዘነበ ኩሞ ገዳ,ዋና ዳይሬክተር ,የፌደራል የከተሞች የስራ እድል ፈጠራና የምግብ ዋስትና ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1257,Shimelash Bezabih,አቶ ስመላሽ በዛብህ ,ምክትል ዋና ዳይሬክተር ,የፌደራል የከተሞች የስራ እድል ፈጠራና የምግብ ዋስትና ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1258,Solomon Assefa Haile,አቶ ሰለሞን አሰፋ ሀይሌ,ምክትል ዋና ዳይሬክተር ,የፌደራል የከተሞች የስራ እድል ፈጠራና የምግብ ዋስትና ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1259,Solomon Kebede Mamo,አቶ ሰለሞን ከበደ ማሞ,ዋና ዳይሬክተር ,የፌደራል ከተማ መሬትናመሬት ነክ ንብረት ምዝገባና መረጃ ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1260,Rahel Hailu,ወ/ሮ ራሄል ኃይሉ,የካዳስተር ዘርፍ ምትል ዋና ዳይሬክተር ,የፌደራል ከተማ መሬትናመሬት ነክ ንብረት ምዝገባና መረጃ ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1261,Bahiru Ashiene Gobie,አቶ ባህሩ አሽኔ ጎቤ,ምክትል ዋና ዳይሬክተር ,የፌደራል ከተማ መሬትናመሬት ነክ ንብረት ምዝገባና መረጃ ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1262,Almaw Mengiste,አቶ አልማው መንግስቴ,ዋና ዳይሬክተር ,የተቀነጀ መሰረተ-ልማት ማስተባበሪያ ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1263,Seada Kedir,ወ/ሮ ሰዓዳ ከደደር,ምክትል ዋና ዳይሬክተር ,የተቀነጀ መሰረተ-ልማት ማስተባበሪያ ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1264,Dr. Michael Mehari Moges,ዶ/ር ሚካኤል መሐሪ ሞገስ,ኮሚሽነር,የመስኖ ልማት ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1265,Samuel Hussien,አቶ ሳሙኤል ሁሴን,ምክትል ኮሚሽነር ,የመስኖ ልማት ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1266,Dr. Beshah Mogessie,ዶ/ር በሻህ ሞገሴ,ኮሚሽነር,የውሃ ልማት ኮሚሽነር ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1267,Shiwanesh Demeqe,ወ/ሮ ሸዋነሽ ደመቀ ,ምክትል ኮሚሽነር ,የውሃ ልማት ኮሚሽነር ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1268,Wana Wake,አቶ ዋና ዋኬ ,ዋና ዳይሬክተር ,የውሃ ልማት ፈንድ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1269,Dr.Abrham Belay,ዶ/ር አብርሃም በላይ,ዋና ስራ አስፈፃሚ ,የኢትዮጵያ ኤሌክትሪክ ኃይል ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1270,Shiferaw Telila Senbetu,አቶ  ሽፈራው ተሊላ ,ዋና ስራ አስፈፃሚ ,የኢትዮጵያ ኤሌክትሪክ ኃይል ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1271,Dr. Adanech Yared Jilo,ዶ/ር አዳነች ያሬድ ጅሎ,ዋና ዳይሬክተር ,የተፋሰሶች ልማት ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1272,Hirut Biresa,ወ/ሮ ሂሩት ብረሳ ,ም/ዋና ዳይሬክተር ,የተፋሰሶች ልማት ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1273,Getachew Gizaw,አቶ ጌታቸው ግዛው ,ም/ዋና ዳይሬክተር ,የተፋሰሶች ልማት ባለስልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1274,Fetene Teshome Tolla,አቶ ፈጠነ ተሾመ ቶላ,ዋና ዳይሬክተር ,ብሄራዊ የሜትሮሎጂ ኢጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1275,Kinfe Hailemariyam Beyene,አቶ ክንፈ ኃይለማርያም በየነ,ም/ዋና ዳይሬክተር ,ብሄራዊ የሜትሮሎጂ ኢጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1276,Tamene Hayilu,አቶ ታመነ ሀይሉ ,ዋና ዳይሬክተር ,የውሃ ቴክኖሎጂ ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1277,Mesay Demissie Zeleqe,አቶ መሳይ ደምሴ ዘለቀ,ም/ዋና ዳይሬክተር ,አገር አቀፍ ት/ት ምዘና እና ፈቃድ ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1278,Tamiru Fekadu,አቶ ታምሩ ፍቃዱ ,ምክትል ዋና ዳይሬክተር ,የውሃ ቴክኖሎጂ ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1279,Ajanaw Fenta,አቶ አጃናው ፈንታ ,ምክትል ዋና ዳይሬክተር ,የውሃ ቴክኖሎጂ ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1280,Roman G/Silassie,ወ/ሮ ሮማን ገብረስላሴ ,ዋና ዳይሬክተር ,የታላቁ ህዳሴ ግድብ ማስተባበሪያ ፅ/ቤት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
